"id","identificador","ubicacion","latitud","longitud","municipio_id","provincia_id","id_departamento","municipio","provincia","departamento"
"195","SFE305-05","La Tablada","-31.593536","-60.720004","SFE305","AR-S","1694","Santa Fe","Santa Fe","La Capital"
"955","BUE115-01","PD San Isidro","-34.498644","-58.614639","BUE115","AR-B","1310","San Isidro","Buenos Aires","San Isidro"
"26","BUE115-02","Estacion Boulogne","-34.509028","-58.564639","BUE115","AR-B","1310","San Isidro","Buenos Aires","San Isidro"
"700","ERI046-01","Biblioteca Popular","-32.212611","-58.218028","ERI046","AR-E","1441","San José","Entre Ríos","Colon"
"253","CHU018-01","PD Esquel","-42.907988","-71.326257","CHU018","AR-U","1371","Esquel","Chubut","Futaleufu"
"335","COR071-01","Colonia 3 de Abril - Munic. de Vella Vista","-28.412444","-58.913889","COR071","AR-W","1409","Tres de Abril","Corrientes","Bella Vista"
"1306","SAL020-01","","0.000000","0.000000","SAL020","AR-A","1660","Embarcación","Salta","General Jose de San Martin"
"398","SGO069-01","","0.000000","0.000000","SGO069","AR-G","1638","Santiago del Estero","Santiago del Estero","Capital"
"1062","CBA308-01","Hospital provincial","-32.169164","-64.122659","CBA308","AR-X","1388","Río Tercero","Córdoba","Tercero Arriba"
"115","CBA308-02","Paseo del Riel","-32.170806","-64.110583","CBA308","AR-X","1388","Río Tercero","Córdoba","Tercero Arriba"
"117","CBA308-03","Pza San Martin","-32.176977","-64.113110","CBA308","AR-X","1388","Río Tercero","Córdoba","Tercero Arriba"
"116","CBA308-04","Terminal de Omnibus","-32.167303","-64.119278","CBA308","AR-X","1388","Río Tercero","Córdoba","Tercero Arriba"
"261","TUC071-01","PD Monteros","-28.887955","-62.268458","TUC071","AR-T","1643","Monteros","Tucumán","Monteros"
